Day,Outlook,Temperature,Humidity,Wind,Play
D1,Overcast,Mild,Normal,Strong,Yes
D2,Sunny,Mild,Normal,Strong,Yes
D3,None,Mild,High,Strong,No
D4,Sunny,Mild,High,Weak,Yes
D5,Sunny,Cool,Normal,Strong,Yes
D6,None,Cool,Normal,Strong,Yes
D7,Sunny,Mild,High,Weak,Yes
D8,Sunny,Mild,Normal,Weak,Yes
D9,Rainy,Mild,Normal,Weak,No
D10,Rainy,Cool,High,Weak,No
D11,Rainy,Mild,Normal,Weak,No
D12,Sunny,Mild,Normal,None,Yes
D13,Rainy,Hot,Normal,Weak,No
D14,Sunny,Cool,Normal,Weak,Yes
D15,Sunny,Mild,High,Weak,Yes
D16,Overcast,Mild,High,Strong,Yes
D17,Overcast,Mild,High,Weak,Yes
D18,Sunny,Cool,High,Weak,Yes
D19,None,Mild,High,Weak,No
D20,Rainy,Hot,High,Strong,No
D21,Rainy,Cool,High,Strong,No
D22,Overcast,Mild,High,Weak,Yes
D23,Overcast,Cool,Normal,Weak,Yes
D24,Sunny,Mild,High,Weak,Yes
D25,Sunny,Cool,High,Weak,Yes
D26,Rainy,Hot,High,Strong,No
D27,Overcast,Mild,None,Strong,Yes
D28,Sunny,Cool,High,Strong,Yes
D29,Overcast,Mild,Normal,Weak,Yes
D30,Rainy,Cool,Normal,Strong,Yes
D31,Overcast,Cool,High,Strong,Yes
D1,Sunny,Mild,High,Weak,Yes
D2,Overcast,Cool,High,Weak,Yes
D3,Sunny,Hot,High,Weak,No
D4,Overcast,Mild,None,Weak,Yes
D5,Overcast,Hot,Normal,Weak,Yes
D6,Sunny,Mild,High,Weak,Yes
D7,Sunny,Cool,Normal,Weak,Yes
D8,Rainy,Hot,Normal,Weak,No
D9,None,Mild,High,Weak,No
D10,Sunny,Cool,Normal,Weak,Yes
D11,Rainy,None,High,Weak,No
D12,Overcast,Cool,High,Strong,Yes
D13,Overcast,Mild,Normal,Strong,Yes
D14,Sunny,Cool,High,Weak,Yes
D15,None,Hot,Normal,Weak,No
D16,Overcast,Hot,High,Weak,No
D17,Overcast,Mild,High,Weak,Yes
D18,Overcast,Hot,High,Strong,No
D19,Overcast,Hot,Normal,Weak,Yes
D20,Rainy,Mild,Normal,None,No
D21,Overcast,Hot,Normal,Weak,Yes
D22,Rainy,Mild,Normal,Strong,No
D23,Sunny,Cool,High,Strong,Yes
D24,Sunny,Cool,Normal,Weak,Yes
D25,Rainy,Cool,Normal,Weak,Yes
D26,Overcast,Cool,High,Weak,Yes
D27,Rainy,Mild,Normal,Weak,No
D28,Sunny,Cool,High,Weak,Yes
D29,Sunny,Cool,Normal,Weak,Yes
D1,Sunny,Cool,Normal,Weak,Yes
D2,Overcast,Cool,High,Weak,Yes
D3,None,Cool,Normal,Weak,Yes
D4,Sunny,Cool,Normal,Weak,Yes
D5,Overcast,Cool,Normal,Weak,Yes
D6,Sunny,None,High,Weak,No
D7,Sunny,Mild,Normal,Strong,Yes
D8,Rainy,None,High,Weak,No
D9,Rainy,Hot,Normal,Strong,No
D10,Sunny,Mild,High,None,No
D11,Overcast,Cool,Normal,Weak,Yes
D12,Overcast,Hot,Normal,Weak,Yes
D13,Sunny,Cool,Normal,Weak,Yes
D14,Rainy,Mild,Normal,None,No
D15,Sunny,Mild,Normal,Weak,Yes
D16,Rainy,Hot,Normal,Weak,No
D17,Overcast,Cool,High,Weak,Yes
D18,Sunny,Mild,Normal,Weak,Yes
D19,Sunny,Cool,Normal,Weak,Yes
D20,Overcast,Cool,Normal,Weak,Yes
D21,Sunny,Mild,High,Strong,No
D22,None,Cool,High,Strong,No
D23,Sunny,Cool,Normal,Strong,Yes
D24,Rainy,None,High,Weak,No
D25,Overcast,Cool,High,Strong,Yes
D26,Overcast,Hot,High,Weak,No
D27,Sunny,Cool,High,Weak,Yes
D28,Rainy,Mild,High,Weak,No
D29,Sunny,None,Normal,Weak,No
D30,Sunny,Hot,Normal,Weak,No
D31,Rainy,Mild,High,Weak,No
D1,Overcast,Hot,Normal,Weak,Yes
D2,Sunny,Cool,Normal,Weak,Yes
D3,Overcast,Cool,High,Weak,Yes
D4,Sunny,Cool,High,Weak,Yes
D5,Sunny,Hot,High,Weak,No
D6,Overcast,Hot,Normal,Weak,Yes
D7,Sunny,Hot,Normal,Weak,Yes
D8,Rainy,Cool,High,Strong,No
D9,Rainy,Cool,Normal,Weak,Yes
